task_id,task_name,n_rows,n_features,n_classes,baseline_roc_auc_mean,baseline_accuracy_mean,seldon_roc_auc_mean,seldon_accuracy_mean,mynanotabpfn_roc_auc_mean,mynanotabpfn_accuracy_mean,osnanotabpfn_roc_auc_mean,osnanotabpfn_accuracy_mean
43,spambase,4601,57,2,0.5603197172112129,0.6058631921824105,0.9919626371239275,0.9609120521172638,0.938120204982375,0.6058631921824105,0.976613643769069,0.9446254071661238
53,vehicle,846,18,4,0.601190558573371,0.3058823529411765,0.9685569421897546,0.8529411764705882,0.6329606938200688,0.3352941176470588,0.9253554388320013,0.7529411764705882
219,electricity,19063,8,2,0.7660336307987314,0.5824782080988635,0.9457467913004826,0.8722277391592188,0.7770801233049555,0.6386406267240428,0.8565033846074115,0.7702747434624296
2074,satimage,6430,36,6,0.6985282521887535,0.21073094867807154,0.9960087385629746,0.9401244167962675,0.7540127205725676,0.5186625194401244,0.984224404283904,0.8755832037325039
3549,analcatdata_authorship,841,70,4,0.7279405189221995,0.378698224852071,1.0,1.0,0.8842587827668534,0.6863905325443787,0.9998870744368626,0.9881656804733728
3902,pc4,1458,37,2,0.5105251736111112,0.8767123287671232,0.9632161458333333,0.910958904109589,0.7715928819444444,0.8767123287671232,0.9516059027777777,0.8972602739726028
3903,pc3,1563,37,2,0.5784030249110321,0.8977635782747604,0.845251334519573,0.9073482428115016,0.7723532028469751,0.8977635782747604,0.8235097864768683,0.8977635782747604
3904,jm1,10885,21,2,0.6178450267559071,0.8066146072576941,0.7612873946942684,0.8167202572347267,0.6757131301435457,0.8066146072576941,0.6962629653877578,0.8098300413412953
3913,kc2,522,21,2,0.6864731653888281,0.7904761904761904,0.7677984665936474,0.8285714285714286,0.7719058050383352,0.8,0.6990690032858707,0.819047619047619
3917,kc1,2109,21,2,0.6664511958629606,0.8459715639810427,0.8528118939883647,0.8696682464454977,0.8009049773755657,0.8459715639810427,0.7994397759103642,0.8459715639810427
3918,pc1,1109,21,2,0.6429951690821256,0.9324324324324325,0.8980676328502416,0.9459459459459459,0.7761674718196457,0.9324324324324325,0.8317230273752014,0.9369369369369369
